,ReplayFingerPrint,TeamName,Battletag,MapName,GameType,HeroName,NewRole,GameDate,GameLengthTimestamp,PlayerReplayId,ReplayId,PlayerId,HeroId,HeroLevel,Team,IsWinner,Party,FirstToTen,Kills,Assists,Takedowns,Deaths,Level,HeroDamage,SiegeDamage,StructureDamage,MinionDamage,CreepDamage,SummonDamage,TimeCcEnemyHeroes,Healing,SelfHealing,DamageTaken,ExperienceContribution,HighestKillStreak,TownKills,Multikill,TimeSpentDead,MercCampCaptures,WatchTowerCaptures,MetaExperience,ProtectionAllies,SilencingEnemies,RootingEnemies,StunningEnemies,ClutchHeals,Escapes,Vengeance,OutnumberedDeaths,TeamfightEscapes,TeamfightHealing,TeamfightDamageTaken,TeamfightHeroDamage,PhysicalDamage,SpellDamage,RegenGlobes,TimeonFire,BlizzardId,MasterPlayerId,Heroes,Roles,Players
0,1530b5df-8624-4418-d7fa-77dc768c44f8,ff & the pancakes,Courtney#11205,Garden of Terror,Custom,Orphea,Ranged Assassin,2021-02-16 02:58:28,961,5102,515,20,60,20,0,1,-1441567884,1,4,7,11,1,20,46999,115189,35280,52806,8362,1595,0,0,4641,14540,9472,6,4,3,40,2,0,77789,0,0,0,0,0,0,0,1,0,0,8525,33042,31198,136955,31,0,6305177,20,"['Abathur', 'Illidan', 'Johanna', 'Orphea', 'Rehgar']","['Healer', 'Melee Assassin', 'Ranged Assassin', 'Support', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
1,1530b5df-8624-4418-d7fa-77dc768c44f8,ff & the pancakes,MRsiw#1233,Garden of Terror,Custom,Johanna,Tank,2021-02-16 02:58:28,961,5124,515,1568,36,20,0,1,-1441567884,1,1,9,10,0,20,17498,73570,14763,54175,9863,522,0,0,13846,42967,10552,10,3,3,0,4,0,77789,0,0,0,0,0,0,0,0,0,0,27054,11385,30931,69376,32,0,5209540,1568,"['Abathur', 'Illidan', 'Johanna', 'Orphea', 'Rehgar']","['Healer', 'Melee Assassin', 'Ranged Assassin', 'Support', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
2,1530b5df-8624-4418-d7fa-77dc768c44f8,ff & the pancakes,MrG#1722,Garden of Terror,Custom,Rehgar,Healer,2021-02-16 02:58:28,961,5136,515,66,65,20,0,1,-1441567884,1,0,10,10,0,20,9559,60526,25021,26036,15802,0,0,37244,1195,15696,8453,10,4,3,0,4,0,77789,0,0,0,0,0,0,0,0,0,0,3702,4746,37684,47449,35,0,5077604,66,"['Abathur', 'Illidan', 'Johanna', 'Orphea', 'Rehgar']","['Healer', 'Melee Assassin', 'Ranged Assassin', 'Support', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
3,1530b5df-8624-4418-d7fa-77dc768c44f8,ff & the pancakes,xyxgy#1443,Garden of Terror,Custom,Abathur,Support,2021-02-16 02:58:28,961,5148,515,114,1,20,0,1,-1441567884,1,4,8,12,0,20,30514,54950,9878,41375,9472,222,0,6321,2424,1046,12437,12,0,2,0,0,0,77789,0,0,0,0,0,0,0,0,0,0,0,226,8076,85191,3,0,5317709,114,"['Abathur', 'Illidan', 'Johanna', 'Orphea', 'Rehgar']","['Healer', 'Melee Assassin', 'Ranged Assassin', 'Support', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
4,1530b5df-8624-4418-d7fa-77dc768c44f8,ff & the pancakes,stampy#1261,Garden of Terror,Custom,Illidan,Melee Assassin,2021-02-16 02:58:28,961,5112,515,96,33,20,0,1,-1441567884,1,3,10,13,1,20,22317,86880,35337,36076,38316,48,0,0,27566,40863,10355,7,3,3,40,6,0,77789,0,0,0,0,0,0,0,0,0,0,18511,10412,72432,72275,32,0,4898590,96,"['Abathur', 'Illidan', 'Johanna', 'Orphea', 'Rehgar']","['Healer', 'Melee Assassin', 'Ranged Assassin', 'Support', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
5,eb06a93f-db86-1666-7d5a-e34d84029772,ff & the pancakes,Courtney#11205,Tomb of the Spider Queen,Custom,Orphea,Ranged Assassin,2021-02-16 02:28:31,1188,5104,514,20,60,20,0,1,-1441567884,1,2,4,6,1,21,37261,112531,6686,82391,20585,12412,0,0,3530,19040,9685,5,2,0,65,4,0,86158,0,0,0,0,0,0,0,0,0,0,7845,12525,25814,147877,55,0,6305177,20,"['Blaze', 'Cassia', 'Gazlowe', 'Orphea', 'Rehgar']","['Bruiser', 'Healer', 'Ranged Assassin', 'Ranged Assassin', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
6,eb06a93f-db86-1666-7d5a-e34d84029772,ff & the pancakes,xyxgy#1443,Tomb of the Spider Queen,Custom,Gazlowe,Bruiser,2021-02-16 02:28:31,1188,5095,514,114,27,20,0,1,-1441567884,1,2,7,9,0,21,35619,123117,19870,87859,5609,9040,0,0,8566,31120,14629,9,3,1,0,2,0,86158,0,0,0,0,0,0,0,0,0,0,14695,15782,24186,141748,47,0,5317709,114,"['Blaze', 'Cassia', 'Gazlowe', 'Orphea', 'Rehgar']","['Bruiser', 'Healer', 'Ranged Assassin', 'Ranged Assassin', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
7,eb06a93f-db86-1666-7d5a-e34d84029772,ff & the pancakes,MrG#1722,Tomb of the Spider Queen,Custom,Rehgar,Healer,2021-02-16 02:28:31,1188,5114,514,66,65,20,0,1,-1441567884,1,0,8,8,0,21,7798,47844,13492,23772,14482,4478,0,66644,1388,29674,7995,8,3,1,0,5,0,86158,0,0,0,0,0,0,0,0,0,0,11600,4470,39833,39118,56,0,5077604,66,"['Blaze', 'Cassia', 'Gazlowe', 'Orphea', 'Rehgar']","['Bruiser', 'Healer', 'Ranged Assassin', 'Ranged Assassin', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
8,eb06a93f-db86-1666-7d5a-e34d84029772,ff & the pancakes,MRsiw#1233,Tomb of the Spider Queen,Custom,Blaze,Tank,2021-02-16 02:28:31,1188,5140,514,1568,11,20,0,1,-1441567884,1,3,4,7,1,21,15311,77437,7717,62579,3449,5213,0,0,10071,47881,9920,7,3,1,16,1,0,86158,0,0,0,0,0,0,0,1,0,0,29459,9424,33439,66058,54,0,5209540,1568,"['Blaze', 'Cassia', 'Gazlowe', 'Orphea', 'Rehgar']","['Bruiser', 'Healer', 'Ranged Assassin', 'Ranged Assassin', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
9,eb06a93f-db86-1666-7d5a-e34d84029772,ff & the pancakes,stampy#1261,Tomb of the Spider Queen,Custom,Cassia,Ranged Assassin,2021-02-16 02:28:31,1188,5127,514,96,13,20,0,1,-1441567884,1,2,7,9,1,21,45153,106907,25371,64743,17567,10349,0,0,7406,27139,11009,6,3,1,44,5,0,86158,0,0,0,0,0,0,0,0,0,0,19201,29076,46677,127292,56,0,4898590,96,"['Blaze', 'Cassia', 'Gazlowe', 'Orphea', 'Rehgar']","['Bruiser', 'Healer', 'Ranged Assassin', 'Ranged Assassin', 'Tank']","['Courtney#11205', 'MRsiw#1233', 'MrG#1722', 'stampy#1261', 'xyxgy#1443']"
